example_id                                                    | status  | run_time        |
------------------------------------------------------------- | ------- | --------------- |
./spec/controllers/categories_controller_spec.rb[1:1:1]       | pending | 0.00169 seconds |
./spec/controllers/categories_controller_spec.rb[1:2:1]       | pending | 0.00128 seconds |
./spec/controllers/categories_controller_spec.rb[1:3:1:1]     | pending | 0.00349 seconds |
./spec/controllers/categories_controller_spec.rb[1:3:1:2]     | pending | 0.00175 seconds |
./spec/controllers/categories_controller_spec.rb[1:3:2:1]     | pending | 0.00147 seconds |
./spec/controllers/categories_controller_spec.rb[1:4:1:1]     | pending | 0.00121 seconds |
./spec/controllers/categories_controller_spec.rb[1:4:1:2]     | pending | 0.00132 seconds |
./spec/controllers/categories_controller_spec.rb[1:4:2:1]     | pending | 0.00117 seconds |
./spec/controllers/categories_controller_spec.rb[1:5:1]       | pending | 0.00146 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:1:1]    | pending | 0.00129 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:2:1]    | pending | 0.00122 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:3:1:1]  | pending | 0.00179 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:3:1:2]  | pending | 0.00112 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:3:2:1]  | pending | 0.00113 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:4:1:1]  | pending | 0.0012 seconds  |
./spec/controllers/city_managers_controller_spec.rb[1:4:1:2]  | pending | 0.00111 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:4:2:1]  | pending | 0.00102 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:5:1]    | pending | 0.0012 seconds  |
./spec/controllers/form_answers_controller_spec.rb[1:1:1]     | pending | 0.00125 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:2:1]     | pending | 0.0011 seconds  |
./spec/controllers/form_answers_controller_spec.rb[1:3:1:1]   | pending | 0.00324 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:3:1:2]   | pending | 0.00115 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:3:2:1]   | pending | 0.00153 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:4:1:1]   | pending | 0.00119 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:4:1:2]   | pending | 0.00121 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:4:2:1]   | pending | 0.00122 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:5:1]     | pending | 0.00137 seconds |
./spec/controllers/form_options_controller_spec.rb[1:1:1]     | pending | 0.00314 seconds |
./spec/controllers/form_options_controller_spec.rb[1:2:1]     | pending | 0.00177 seconds |
./spec/controllers/form_options_controller_spec.rb[1:3:1:1]   | pending | 0.00428 seconds |
./spec/controllers/form_options_controller_spec.rb[1:3:1:2]   | pending | 0.00166 seconds |
./spec/controllers/form_options_controller_spec.rb[1:3:2:1]   | pending | 0.00155 seconds |
./spec/controllers/form_options_controller_spec.rb[1:4:1:1]   | pending | 0.00249 seconds |
./spec/controllers/form_options_controller_spec.rb[1:4:1:2]   | pending | 0.00216 seconds |
./spec/controllers/form_options_controller_spec.rb[1:4:2:1]   | pending | 0.0026 seconds  |
./spec/controllers/form_options_controller_spec.rb[1:5:1]     | pending | 0.00175 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:1:1]   | pending | 0.0033 seconds  |
./spec/controllers/form_questions_controller_spec.rb[1:2:1]   | pending | 0.00321 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:3:1:1] | pending | 0.00756 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:3:1:2] | pending | 0.00308 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:3:2:1] | pending | 0.00346 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:4:1:1] | pending | 0.00307 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:4:1:2] | pending | 0.00312 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:4:2:1] | pending | 0.00304 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:5:1]   | pending | 0.00304 seconds |
./spec/controllers/forms_controller_spec.rb[1:1:1]            | pending | 0.00148 seconds |
./spec/controllers/forms_controller_spec.rb[1:2:1]            | pending | 0.00108 seconds |
./spec/controllers/forms_controller_spec.rb[1:3:1:1]          | pending | 0.00332 seconds |
./spec/controllers/forms_controller_spec.rb[1:3:1:2]          | pending | 0.00137 seconds |
